CELL	BSC	LAI	CI	BCCH	BSIC	TCH	HOP	HSN
JMJXCN1	JMSM3B1	9659	65420	47	33	[0] 7 14 24 47 55 59 75 86 [1] 1020 [2] 21 81	[0] ON[1] OFF[2] OFF	[0]11[1]40[2]40
JMJXCN2	JMSM3B1	9659	25202	50	65	[0] 50 67 72 [2] 4 78	[0] ON[2] OFF	[0]12[2]60
JMJXCN3	JMSM3B1	9659	65421	43	66	[0] 9 12 26 43 [2] 30 69	[0] ON[2] OFF	[0]13[2]8
JMJXFL1	JMSM3B1	9659	65444	41	76	[0] 7 16 41 65 70 85 [1] 1023 [2] 3 89	[0] ON[1] OFF[2] OFF	[0]46[1]15[2]46
JMJXFL2	JMSM3B1	9659	65445	39	50	[0] 1 21 26 30 39 72 76 93 [2] 5 80	[0] ON[2] OFF	[0]47[2]47
JMJXFL3	JMSM3B1	9659	26053	45	66	[0] 18 23 45 58 63 68 78 87 [2] 10 14	[0] ON[2] OFF	[0]48[2]36
JMJXFL8	JMSM3B1	9659	65446	54	37	[0] 28 54 74 [2] 60	[0] ON[2] OFF	[0]20[2]25
JMJYUZ1	JMSM3B1	9659	62511	43	60	[0] 43 71 [2] 65 76	[0] OFF[2] OFF	[0]58[2]6
JMJYUZ2	JMSM3B1	9659	25212	52	32	[0] 52 56 61 73 [2] 80 94	[0] ON[2] OFF	[0]17[2]39
JMJYUZ3	JMSM3B1	9659	25213	32	71	[0] 8 16 32 91 [2] 22	[0] ON[2] OFF	[0]41[2]9
JMJZHG1	JMSM3B1	9659	25221	53	55	[0] 1 15 23 53 58 71 93 [2] 87	[0] ON[2] OFF	[0]6[2]23
JMJZHG2	JMSM3B1	9659	25222	36	71	[0] 7 36 69 82 [1] 1023 [2] 13 21 85	[0] ON[1] OFF[2] OFF	[0]25[1]35[2]31
JMJZHG3	JMSM3B1	9659	25223	40	62	[0] 17 40 55 60 64 73 76 [1] 90 [2] 3 25	[0] ON[1] OFF[2] OFF	[0]45[1]25[2]39
JMWY319	JMSM3B1	9659	10003	100	36	[0] 25 100 [2] 14	[0] OFF[2] OFF	[0]42[2]43
JMJK329	JMSM3B2	9693	10001	9	30	[0] 9 [2] 95	[0] OFF[2] OFF	[0]44[2]36
JMXCLE1	JMSM3B2	9693	21851	47	14	[0] 47 71 77 [2] 83	[0] ON[2] OFF	[0]30[2]22
JMXCLE2	JMSM3B2	9693	21852	40	51	[0] 1 23 40 [2] 65	[0] ON[2] OFF	[0]31[2]5
JMXCLE3	JMSM3B2	9693	21853	44	22	[0] 27 44 [2] 69	[0] ON[2] OFF	[0]32[2]13
JMXCSN1	JMSM3B2	9693	21701	34	77	[0] 34 55 [2] 75	[0] OFF[2] OFF	[0]34[2]33
JMXCSN2	JMSM3B2	9693	21702	31	27	[0] 20 31 [2] 88	[0] OFF[2] OFF	[0]63[2]2
JMXCSN3	JMSM3B2	9693	21703	42	73	[0] 12 25 42 73 79 83 92 [2] 86	[0] ON[2] OFF	[0]29[2]36
JMXCXI1	JMSM3B2	9693	21841	37	47	[0] 22 29 37 61 [2] 10	[0] ON[2] OFF	[0]40[2]59
JMXCXI2	JMSM3B2	9693	21842	35	34	[0] 35 79 [2] 86	[0] OFF[2] OFF	[0]41[2]0
JMXCXI3	JMSM3B2	9693	21843	51	34	[0] 51 [2] 15	[0] OFF[2] OFF	[0]42[2]44
JMXCZD1	JMSM3B2	9693	26061	36	51	[0] 23 36 59 [2] 6	[0] ON[2] OFF	[0]48[2]63
JMXCZD2	JMSM3B2	9693	26062	39	64	[0] 39 64 72 [2] 8	[0] ON[2] OFF	[0]52[2]6
JMXCZD3	JMSM3B2	9693	26063	50	34	[0] 50 66 89 [2] 26	[0] ON[2] OFF	[0]57[2]14
JMXGCG1	JMSM3B2	9693	21861	36	63	[0] 10 19 36 61 94 [1] 1020 1023 [2] 14 68	[0] ON[1] OFF[2] OFF	[0]20[1]52[2]21
JMXGCG2	JMSM3B2	9693	21862	45	17	[0] 45 64 [2] 22	[0] ON[2] OFF	[0]21[2]37
JMXGCG3	JMSM3B2	9693	21863	49	26	[0] 49 56 76 89 [2] 71	[0] ON[2] OFF	[0]22[2]50
JMXGCQ1	JMSM3B2	9693	25741	33	53	[0] 16 21 30 33 78 82 90 [2] 75	[0] ON[2] OFF	[0]7[2]61
JMXGCQ2	JMSM3B2	9693	25742	41	13	[0] 18 41 60 [2] 5	[0] ON[2] OFF	[0]24[2]17
JMXGCQ3	JMSM3B2	9693	25743	54	43	[0] 8 54 63 [2] 80	[0] ON[2] OFF	[0]42[2]38
JMXGJG1	JMSM3B2	9693	21831	44	60	[0] 44 74 [2] 15	[0] OFF[2] OFF	[0]26[2]10
JMXGJG2	JMSM3B2	9693	21832	48	57	[0] 3 48 67 72 [1] 1020 1023 [2] 18 55	[0] ON[1] OFF[2] OFF	[0]27[1]52[2]61
JMXGJG3	JMSM3B2	9693	21833	40	75	[0] 5 25 40 63 [2] 81 92	[0] ON[2] OFF	[0]28[2]39
JMXGJG8	JMSM3B2	9693	21838	31	67	[0] 23 28 31 77 [2] 86 90	[0] ON[2] OFF	[0]0[2]4
JMXGYJ1	JMSM3B2	9693	23401	46	61	[0] 46 69 [2] 9 94	[0] ON[2] OFF	[0]6[2]34
JMXGYJ2	JMSM3B2	9693	23402	42	31	[0] 27 42 65 88 [2] 13 78	[0] ON[2] OFF	[0]7[2]55
JMXGYJ3	JMSM3B2	9693	23403	33	37	[0] 20 33 60 87 [2] 57 84	[0] ON[2] OFF	[0]9[2]13
JMXGZU1	JMSM3B2	9693	26001	32	42	[0] 15 32 57 [2] 2	[0] ON[2] OFF	[0]42[2]21
JMXGZU2	JMSM3B2	9693	26002	36	32	[0] 17 36 59 [2] 5	[0] ON[2] OFF	[0]34[2]16
JMXGZU3	JMSM3B2	9693	26003	42	53	[0] 42 64 78 [2] 71	[0] ON[2] OFF	[0]27[2]12
JMXHGZ1	JMSM3B2	9693	26101	40	25	[0] 40 64 69 [2] 4	[0] ON[2] OFF	[0]22[2]19
JMXHGZ2	JMSM3B2	9693	26102	49	73	[0] 22 49 57 [2] 15	[0] ON[2] OFF	[0]20[2]20
JMXHGZ3	JMSM3B2	9693	26103	38	71	[0] 11 38 55 [2] 1	[0] ON[2] OFF	[0]19[2]22
JMXMGQ2	JMSM3B2	9693	65402	36	27	[0] 6 36 [2] 68	[0] OFF[2] OFF	[0]40[2]62
JMXMGQ3	JMSM3B2	9693	20083	31	75	[0] 31 50 [2] 13 16	[0] ON[2] OFF	[0]42[2]19
JMXPTS1	JMSM3B2	9693	63231	34	45	[0] 34 [2] 61	[0] OFF[2] OFF	[0]37[2]16
JMXPTS2	JMSM3B2	9693	63232	46	31	[0] 46 81 [2] 88	[0] ON[2] OFF	[0]38[2]44
JMXPTS3	JMSM3B2	9693	63233	52	77	[0] 21 52 [2] 5	[0] OFF[2] OFF	[0]40[2]13
JMXWLC1	JMSM3B2	9693	20121	41	46	[0] 19 28 41 [2] 13	[0] ON[2] OFF	[0]9[2]35
JMXWLC2	JMSM3B2	9693	20122	38	77	[0] 24 38 80 85 91 [2] 62	[0] ON[2] OFF	[0]13[2]58
JMXWLC3	JMSM3B2	9693	20123	51	30	[0] 1 16 51 59 [2] 7 75	[0] ON[2] OFF	[0]26[2]52
JMXYTB1	JMSM3B2	9693	65501	53	60	[0] 53 73 81 [2] 93	[0] ON[2] OFF	[0]53[2]61
JMXYTB2	JMSM3B2	9693	65502	39	13	[0] 15 21 39 [2] 11	[0] ON[2] OFF	[0]12[2]23
JMXYTB3	JMSM3B2	9693	65503	31	74	[0] 31 55 60 [2] 17	[0] ON[2] OFF	[0]36[2]50
JMXZLN1	JMSM3B2	9693	20041	32	35	[0] 32 [2] 12	[0] OFF[2] OFF	[0]57[2]62
JMXZLN2	JMSM3B2	9693	20042	43	47	[0] 18 43 56 89 [2] 72 94	[0] ON[2] OFF	[0]15[2]23
JMXZLN3	JMSM3B2	9693	20043	45	43	[0] 14 45 62 66 [2] 3 30	[0] ON[2] OFF	[0]38[2]49
JMXZWN1	JMSM3B2	9693	20471	48	20	[0] 4 25 48 68 92 [2] 55	[0] ON[2] OFF	[0]16[2]52
JMXZWN2	JMSM3B2	9693	20472	53	50	[0] 21 30 53 [2] 11	[0] ON[2] OFF	[0]40[2]18
JMXZWN3	JMSM3B2	9693	20473	38	45	[0] 7 38 64 76 88 [2] 17	[0] ON[2] OFF	[0]1[2]2
JDXGMC1	JMSM4B1	10063	30021	513	76	[0] 513 544 548 552 556 563 570 [2] 539	[0] ON[2] OFF	[0]41[2]47
JDXGMC2	JMSM4B1	10063	30022	518	41	[0] 518 606 611 616 620 624 629 [2] 634	[0] ON[2] OFF	[0]42[2]51
JDXGMC3	JMSM4B1	10063	30023	515	70	[0] 515 550 554 560 568 574 581 [2] 541	[0] ON[2] OFF	[0]44[2]56
JDXHBI1	JMSM4B1	10063	33101	520	34	[0] 520 551 574 [2] 545	[0] ON[2] OFF	[0]37[2]39
JDXHBI2	JMSM4B1	10063	33102	530	46	[0] 530 547 565 [2] 542	[0] ON[2] OFF	[0]58[2]63
JDXHBI3	JMSM4B1	10063	33103	535	25	[0] 535 626 631 [2] 618	[0] ON[2] OFF	[0]16[2]24
JDXHYG1	JMSM4B1	10063	30161	516	75	[0] 516 549 553 560 567 572 581 [2] 543	[0] ON[2] OFF	[0]38[2]62
JDXHYG2	JMSM4B1	10063	30162	513	42	[0] 513 551 555 562 569 574 583 [2] 545	[0] ON[2] OFF	[0]45[2]8
JDXHYG3	JMSM4B1	10063	30163	522	43	[0] 522 576 585 590 596 603 608 [2] 557	[0] ON[2] OFF	[0]53[2]19
JDXMGG1	JMSM4B1	10063	32001	536	57	[0] 536 555 586 [2] 540	[0] ON[2] OFF	[0]17[2]47
JDXMGG2	JMSM4B1	10063	32002	520	14	[0] 520 578 619 [2] 635	[0] ON[2] OFF	[0]9[2]42
JDXMGG3	JMSM4B1	10063	32003	527	75	[0] 527 597 614 [2] 570	[0] ON[2] OFF	[0]57[2]28
JDXTMA1	JMSM4B1	10063	30401	518	70	[0] 518 552 558 563 573 624 635 [2] 609	[0] ON[2] OFF	[0]2[2]35
JDXTMA2	JMSM4B1	10063	30402	529	64	[0] 529 539 [2] 565 587	[0] OFF[2] OFF	[0]5[2]44
JDXTMA3	JMSM4B1	10063	30403	512	77	[0] 512 568 577 582 [2] 589 595	[0] ON[2] OFF	[0]9[2]54
JDXTXE1	JMSM4B1	10063	30091	513	13	[0] 513 584 589 595 599 604 609 614 618 623 [2] 629 634	[0] ON[2] OFF	[0]46[2]32
JDXTXE2	JMSM4B1	10063	30081	523	37	[0] 523 542 549 553 559 566 602 [2] 606	[0] ON[2] OFF	[0]47[2]36
JDXTXE3	JMSM4B1	10063	30082	536	21	[0] 536 600 608 [2] 620	[0] ON[2] OFF	[0]49[2]41
JDXXCG1	JMSM4B1	10063	30611	534	56	[0] 534 538 564 593 597 604 [2] 619 632	[0] ON[2] OFF	[0]14[2]1
JDXXCG2	JMSM4B1	10063	30612	520	72	[0] 520 571 606 615 622 [2] 579	[0] ON[2] OFF	[0]20[2]13
JDXXCG3	JMSM4B1	10063	30613	514	47	[0] 514 541 634 [2] 600	[0] ON[2] OFF	[0]27[2]26
JMJK419	JMSM4B1	10063	10001	1000	30	[0] 1000 [2] 95	[0] OFF[2] OFF	[0]22[2]26
JMXBSI1	JMSM4B1	10063	24001	37	56	[0] 10 25 37 64 78 88 [2] 74 92	[0] ON[2] OFF	[0]49[2]33
JMXBSI2	JMSM4B1	10063	24002	47	32	[0] 3 12 47 61 [1] 1023 [2] 83	[0] ON[1] OFF[2] OFF	[0]59[1]43[2]54
JMXBSI3	JMSM4B1	10063	24003	32	70	[0] 5 32 63 [2] 84	[0] ON[2] OFF	[0]6[2]27
JMXBYG1	JMSM4B1	10063	23351	33	21	[0] 2 15 33 63 69 82 [2] 72 79	[0] ON[2] OFF	[0]56[2]40
JMXBYG2	JMSM4B1	10063	23352	48	46	[0] 48 87 [2] 67	[0] OFF[2] OFF	[0]57[2]3
JMXBYG3	JMSM4B1	10063	23353	31	50	[0] 5 21 31 65 94 [2] 56	[0] ON[2] OFF	[0]58[2]29
JMXCCC1	JMSM4B1	10063	24011	53	34	[0] 12 53 85 [1] 1022 [2] 18 61	[0] ON[1] OFF[2] OFF	[0]45[1]49[2]1
JMXCCC2	JMSM4B1	10063	24012	43	60	[0] 43 [2] 64	[0] OFF[2] OFF	[0]8[2]49
JMXCCC3	JMSM4B1	10063	24013	39	51	[0] 4 16 19 39 [1] 0 [2] 7	[0] ON[1] OFF[2] OFF	[0]36[1]55[2]34
JMXCCG1	JMSM4B1	10063	25101	34	52	[0] 16 34 69 74 78 [2] 63	[0] ON[2] OFF	[0]19[2]2
JMXCCG2	JMSM4B1	10063	25102	43	73	[0] 29 43 56 66 81 [2] 3	[0] ON[2] OFF	[0]55[2]41
JMXCCG3	JMSM4B1	10063	25103	49	56	[0] 10 27 49 84 93 [2] 13	[0] ON[2] OFF	[0]28[2]17
JMXCKN1	JMSM4B1	10063	23101	52	76	[0] 11 24 52 81 [2] 68 86	[0] OFF[2] OFF	[0]27[2]59
JMXCKN2	JMSM4B1	10063	23102	41	40	[0] 5 20 26 41 73 90 93 [2] 30	[0] ON[2] OFF	[0]28[2]40
JMXCKN3	JMSM4B1	10063	23103	49	53	[0] 2 14 49 [2] 75	[0] ON[2] OFF	[0]29[2]15
JMXCLN1	JMSM4B1	10063	23321	47	22	[0] 13 47 87 [2] 6	[0] ON[2] OFF	[0]18[2]32
JMXCLN2	JMSM4B1	10063	23322	43	50	[0] 43 [2] 94	[0] OFF[2] OFF	[0]30[2]31
JMXCLN3	JMSM4B1	10063	23323	36	11	[0] 25 36 60 [2] 16	[0] ON[2] OFF	[0]43[2]29
JMXCTU1	JMSM4B1	10063	23361	45	67	[0] 45 [2] 61	[0] OFF[2] OFF	[0]37[2]49
JMXCTU2	JMSM4B1	10063	23362	47	75	[0] 47 [2] 18	[0] OFF[2] OFF	[0]38[2]17
JMXCTU3	JMSM4B1	10063	23363	50	27	[0] 50 87 [2] 20	[0] OFF[2] OFF	[0]39[2]48
JMXDQO1	JMSM4B1	10063	24021	40	35	[0] 40 81 [2] 9	[0] OFF[2] OFF	[0]7[2]52
JMXDQO2	JMSM4B1	10063	24022	35	45	[0] 19 35 69 86 [2] 5	[0] ON[2] OFF	[0]8[2]6
JMXDQO3	JMSM4B1	10063	24023	51	43	[0] 7 27 51 74 88 [2] 78	[0] ON[2] OFF	[0]9[2]25
JMXDYJ1	JMSM4B1	10063	23661	38	43	[0] 5 38 60 65 [1] 1020 [2] 73 83 86	[0] ON[1] OFF[2] OFF	[0]37[1]54[2]48
JMXDYJ2	JMSM4B1	10063	23662	45	32	[0] 45 75 87 94 [1] 1021 [2] 55	[0] ON[1] OFF[2] OFF	[0]10[1]15[2]23
JMXDZE1	JMSM4B1	10063	23371	36	47	[0] 36 77 [2] 16 93	[0] OFF[2] OFF	[0]13[2]45
JMXDZE2	JMSM4B1	10063	23372	39	54	[0] 39 64 80 85 89 [2] 27	[0] ON[2] OFF	[0]14[2]6
JMXDZE3	JMSM4B1	10063	23373	52	74	[0] 7 11 14 20 30 52 67 70 [1] 0 [2] 58	[0] ON[1] OFF[2] OFF	[0]15[1]42[2]33
JMXDZX1	JMSM4B1	10063	23381	40	30	[0] 3 23 40 [2] 6 93	[0] ON[2] OFF	[0]16[2]43
JMXDZX2	JMSM4B1	10063	23382	42	17	[0] 18 25 42 63 91 [2] 78	[0] ON[2] OFF	[0]53[2]44
JMXDZX3	JMSM4B1	10063	23383	49	30	[0] 10 49 76 [2] 84	[0] ON[2] OFF	[0]54[2]16
JMXFMI1	JMSM4B1	10063	24031	50	44	[0] 50 [2] 22	[0] OFF[2] OFF	[0]5[2]36
JMXFMI2	JMSM4B1	10063	24032	39	56	[0] 9 29 39 71 [2] 15 88	[0] ON[2] OFF	[0]3[2]54
JMXFMI3	JMSM4B1	10063	24033	41	17	[0] 41 82 [2] 13	[0] OFF[2] OFF	[0]2[2]16
JMXGFC1	JMSM4B1	10063	25691	48	35	[0] 48 58 73 81 [2] 8 67	[0] ON[2] OFF	[0]16[2]54
JMXGFC2	JMSM4B1	10063	25692	36	50	[0] 23 27 36 78 85 [2] 14 71 88	[0] ON[2] OFF	[0]47[2]24
JMXGFC3	JMSM4B1	10063	25693	38	70	[0] 5 18 21 25 38 74 [2] 11 30 65 94	[0] ON[2] OFF	[0]15[2]59
JMXGMC1	JMSM4B1	10063	20021	53	44	[0] 4 6 9 53 82 [1] 1022 [2] 62 92	[0] ON[1] OFF[2] OFF	[0]4[1]39[2]54
JMXGMC2	JMSM4B1	10063	20022	47	72	[0] 16 28 47 83 [2] 73 87	[0] ON[2] OFF	[0]63[2]53
JMXGMC3	JMSM4B1	10063	20023	44	33	[0] 2 19 23 44 60 75 78 80 [1] 1023 [2] 68	[0] ON[1] OFF[2] OFF	[0]59[1]21[2]56
JMXHBI1	JMSM4B1	10063	23121	31	71	[0] 31 57 90 [2] 76	[0] ON[2] OFF	[0]19[2]34
JMXHBI2	JMSM4B1	10063	23122	40	64	[0] 1 23 40 [2] 17	[0] ON[2] OFF	[0]8[2]4
JMXHBI3	JMSM4B1	10063	23123	42	32	[0] 13 29 42 64 79 [2] 25	[0] ON[2] OFF	[0]62[2]47
JMXHYG1	JMSM4B1	10063	20161	40	15	[0] 26 40 61 81 89 [1] 1022 [2] 2 67	[0] ON[1] OFF[2] OFF	[0]53[1]45[2]22
JMXHYG2	JMSM4B1	10063	20162	31	55	[0] 6 19 31 69 [2] 80 91	[0] ON[2] OFF	[0]57[2]63
JMXHYG3	JMSM4B1	10063	20163	49	14	[0] 49 [2] 4	[0] OFF[2] OFF	[0]50[2]6
JMXJBC1	JMSM4B1	10063	24041	31	10	[0] 31 [2] 68	[0] OFF[2] OFF	[0]25[2]25
JMXJBC2	JMSM4B1	10063	24042	45	11	[0] 2 45 [1] 67 [2] 27	[0] ON[1] OFF[2] OFF	[0]9[1]51[2]18
JMXJHT1	JMSM4B1	10063	25701	51	54	[0] 23 51 59 [2] 1	[0] ON[2] OFF	[0]44[2]50
JMXJHT2	JMSM4B1	10063	25702	34	25	[0] 8 14 34 [2] 21	[0] ON[2] OFF	[0]45[2]54
JMXJHT3	JMSM4B1	10063	25703	49	34	[0] 49 89 93 [2] 81	[0] ON[2] OFF	[0]47[2]59
JMXJJK1	JMSM4B1	10063	20081	51	51	[0] 26 51 74 [2] 8	[0] ON[2] OFF	[0]8[2]37
JMXJJK2	JMSM4B1	10063	20082	49	62	[0] 24 49 78 [2] 65	[0] ON[2] OFF	[0]22[2]53
JMXJLO1	JMSM4B1	10063	24051	47	10	[0] 1 6 47 [2] 91	[0] ON[2] OFF	[0]45[2]63
JMXJLO2	JMSM4B1	10063	24052	43	43	[0] 43 [2] 85	[0] OFF[2] OFF	[0]46[2]51
JMXJLO3	JMSM4B1	10063	24053	54	23	[0] 54 61 [2] 82	[0] OFF[2] OFF	[0]47[2]42
JMXJTD9	JMSM4B1	10063	23239	33	64	[0] 33 [2] 58	[0] OFF[2] OFF	[0]14[2]60
JMXJTG1	JMSM4B1	10063	24061	51	16	[0] 2 10 21 30 51 68 84 [2] 57	[0] ON[2] OFF	[0]59[2]18
JMXJTG2	JMSM4B1	10063	24062	38	76	[0] 14 38 71 [2] 62	[0] ON[2] OFF	[0]60[2]33
JMXJTG3	JMSM4B1	10063	24063	46	74	[0] 17 46 65 77 87 [2] 24	[0] ON[2] OFF	[0]61[2]35
JMXKKU1	JMSM4B1	10063	20031	46	40	[0] 20 46 80 [2] 26	[0] ON[2] OFF	[0]8[2]37
JMXKKU2	JMSM4B1	10063	20032	33	53	[0] 33 57 60 [2] 93	[0] ON[2] OFF	[0]38[2]6
JMXKKU3	JMSM4B1	10063	20033	53	63	[0] 12 53 78 [2] 84	[0] ON[2] OFF	[0]5[2]40
JMXLGG1	JMSM4B1	10063	23561	50	65	[0] 19 50 86 [2] 71	[0] ON[2] OFF	[0]63[2]57
JMXLGG2	JMSM4B1	10063	23562	53	73	[0] 53 68 82 [2] 93	[0] ON[2] OFF	[0]4[2]45
JMXLGG3	JMSM4B1	10063	23563	46	62	[0] 10 26 46 64 [2] 79 89	[0] ON[2] OFF	[0]10[2]8
JMXLJI1	JMSM4B1	10063	24071	35	15	[0] 3 35 60 [2] 86	[0] ON[2] OFF	[0]20[2]37
JMXLJI2	JMSM4B1	10063	24072	40	63	[0] 40 81 89 [2] 74	[0] ON[2] OFF	[0]46[2]2
JMXLJI3	JMSM4B1	10063	24073	31	11	[0] 31 56 [2] 8 93	[0] OFF[2] OFF	[0]9[2]32
JMXLKG1	JMSM4B1	10063	23421	41	44	[0] 1 12 17 22 28 41 61 76 [2] 7 57 83 92	[0] ON[2] OFF	[0]63[2]23
JMXLKG2	JMSM4B1	10063	23422	31	35	[0] 15 31 67 [2] 70	[0] ON[2] OFF	[0]1[2]42
JMXLKG3	JMSM4B1	10063	23423	51	52	[0] 9 20 51 72 [2] 59 80 90	[0] ON[2] OFF	[0]2[2]25
JMXLLI1	JMSM4B1	10063	24081	52	26	[0] 3 11 27 52 94 [2] 71	[0] ON[2] OFF	[0]0[2]28
JMXLLI2	JMSM4B1	10063	24082	34	63	[0] 34 [2] 4	[0] OFF[2] OFF	[0]7[2]61
JMXLLI3	JMSM4B1	10063	24083	39	50	[0] 6 39 62 69 91 [2] 16	[0] ON[2] OFF	[0]15[2]16
JMXLMK1	JMSM4B1	10063	24091	38	20	[0] 38 [2] 1	[0] OFF[2] OFF	[0]10[2]18
JMXLMK2	JMSM4B1	10063	24092	50	47	[0] 50 [2] 8	[0] OFF[2] OFF	[0]5[2]32
JMXLTG4	JMSM4B1	10063	23574	49	35	[0] 49 [2] 6	[0] OFF[2] OFF	[0]2[2]21
JMXLTO1	JMSM4B1	10063	24201	38	52	[0] 38 66 76 [2] 91	[0] ON[2] OFF	[0]42[2]43
JMXLTO2	JMSM4B1	10063	24202	42	66	[0] 18 42 85 [2] 6	[0] ON[2] OFF	[0]10[2]13
JMXLTU1	JMSM4B1	10063	24101	52	41	[0] 52 75 [1] 1023 [2] 27	[0] OFF[1] OFF[2] OFF	[0]3[1]45[2]27
JMXLTU2	JMSM4B1	10063	24102	36	10	[0] 11 20 36 63 90 [2] 72	[0] ON[2] OFF	[0]15[2]58
JMXLTU3	JMSM4B1	10063	24103	33	15	[0] 13 23 33 60 82 [2] 6	[0] ON[2] OFF	[0]28[2]3
JMXLYN4	JMSM4B1	10063	23154	36	44	[0] 36 62 76 [2] 22	[0] ON[2] OFF	[0]3[2]14
JMXMGG1	JMSM4B1	10063	24111	38	64	[0] 8 12 18 38 [1] 0 [2] 21 63 91	[0] ON[1] OFF[2] OFF	[0]18[1]34[2]8
JMXMGG2	JMSM4B1	10063	24112	54	75	[0] 28 54 94 [2] 68	[0] ON[2] OFF	[0]19[2]36
JMXMGG3	JMSM4B1	10063	24113	31	57	[0] 31 57 61 70 77 [2] 65	[0] ON[2] OFF	[0]20[2]16
JMXNGC4	JMSM4B1	10063	24124	36	42	[0] 36 [1] 55 58 [2] 69	[0] OFF[1] OFF[2] OFF	[0]43[1]15[2]33
JMXQBO1	JMSM4B1	10063	23331	37	30	[0] 30 37 [2] 85	[0] OFF[2] OFF	[0]47[2]56
JMXQBO2	JMSM4B1	10063	23332	35	50	[0] 27 35 66 93 [2] 14 88	[0] ON[2] OFF	[0]48[2]22
JMXQBO3	JMSM4B1	10063	23333	32	22	[0] 4 8 32 74 [2] 21 70	[0] ON[2] OFF	[0]49[2]5
JMXQPI1	JMSM4B1	10063	23251	53	35	[0] 27 53 62 [1] 1023 [2] 12 66	[0] ON[1] OFF[2] OFF	[0]8[1]20[2]40
JMXQPI2	JMSM4B1	10063	23252	38	32	[0] 7 18 25 29 38 88 92 [2] 76	[0] ON[2] OFF	[0]40[2]51
JMXQPI3	JMSM4B1	10063	23253	51	14	[0] 10 22 51 56 59 70 79 84 [2] 14 74	[0] ON[2] OFF	[0]9[2]11
JMXSHQ1	JMSM4B1	10063	20001	41	61	[0] 1 29 41 [2] 8	[0] ON[2] OFF	[0]46[2]39
JMXSHQ2	JMSM4B1	10063	20002	54	25	[0] 16 54 73 [2] 58	[0] ON[2] OFF	[0]0[2]60
JMXSHQ3	JMSM4B1	10063	20003	31	45	[0] 21 31 70 [2] 80	[0] ON[2] OFF	[0]19[2]18
JMXSJN1	JMSM4B1	10063	23181	32	37	[0] 9 12 32 [2] 6	[0] ON[2] OFF	[0]21[2]45
JMXSJN2	JMSM4B1	10063	23182	45	24	[0] 15 19 45 [2] 4	[0] ON[2] OFF	[0]28[2]55
JMXSJN3	JMSM4B1	10063	23183	47	56	[0] 47 59 63 [2] 21	[0] ON[2] OFF	[0]36[2]2
JMXSLC1	JMSM4B1	10063	24301	53	23	[0] 53 71 83 [2] 63	[0] ON[2] OFF	[0]8[2]62
JMXSLC2	JMSM4B1	10063	24302	39	12	[0] 7 11 39 [2] 2	[0] ON[2] OFF	[0]25[2]18
JMXSLC3	JMSM4B1	10063	24303	45	47	[0] 45 90 94 [2] 77	[0] ON[2] OFF	[0]43[2]39
JMXSLU1	JMSM4B1	10063	24131	36	54	[0] 36 72 93 [2] 80	[0] ON[2] OFF	[0]33[2]41
JMXSLU2	JMSM4B1	10063	24132	42	64	[0] 24 42 65 87 [2] 4 91	[0] ON[2] OFF	[0]35[2]56
JMXSLU3	JMSM4B1	10063	24133	34	27	[0] 34 63 [2] 19	[0] OFF[2] OFF	[0]38[2]45
JMXSLU8	JMSM4B1	10063	24138	49	24	[0] 49 58 70 74 82 [2] 85	[0] ON[2] OFF	[0]15[2]17
JMXSNC1	JMSM4B1	10063	26101	44	66	[0] 5 9 44 [2] 14	[0] ON[2] OFF	[0]57[2]29
JMXSNC2	JMSM4B1	10063	26102	37	67	[0] 16 21 37 [2] 27	[0] ON[2] OFF	[0]4[2]43
JMXSNC3	JMSM4B1	10063	26103	34	10	[0] 18 30 34 [2] 2	[0] ON[2] OFF	[0]16[2]58
JMXSSI1	JMSM4B1	10063	24141	37	45	[0] 26 37 67 77 83 [2] 87	[0] ON[2] OFF	[0]13[2]6
JMXSSI2	JMSM4B1	10063	24142	48	21	[0] 10 48 70 89 [2] 15 81	[0] ON[2] OFF	[0]14[2]0
JMXSSI3	JMSM4B1	10063	24143	42	43	[0] 6 23 42 75 79 91 [2] 28 59 66 94	[0] ON[2] OFF	[0]15[2]36
JMXSZI1	JMSM4B1	10063	23471	44	71	[0] 23 44 68 [2] 55	[0] ON[2] OFF	[0]19[2]9
JMXSZI2	JMSM4B1	10063	23472	36	71	[0] 16 36 62 [2] 87	[0] ON[2] OFF	[0]20[2]49
JMXSZI3	JMSM4B1	10063	23473	53	71	[0] 2 53 85 [2] 77	[0] ON[2] OFF	[0]21[2]28
JMXTHU1	JMSM4B1	10063	23591	43	37	[0] 23 43 91 [2] 66	[0] ON[2] OFF	[0]1[2]37
JMXTHU2	JMSM4B1	10063	23592	46	30	[0] 10 46 58 [2] 26	[0] ON[2] OFF	[0]15[2]12
JMXTHU3	JMSM4B1	10063	23593	40	57	[0] 40 [2] 93	[0] OFF[2] OFF	[0]30[2]52
JMXTLG1	JMSM4B1	10063	24151	52	17	[0] 27 52 [2] 92	[0] ON[2] OFF	[0]38[2]14
JMXTLG2	JMSM4B1	10063	24152	48	67	[0] 48 79 [2] 21	[0] OFF[2] OFF	[0]18[2]25
JMXTLG3	JMSM4B1	10063	24153	36	12	[0] 3 24 36 65 [2] 62 87	[0] ON[2] OFF	[0]63[2]6
JMXTMA1	JMSM4B1	10063	23191	48	30	[0] 4 48 [2] 1	[0] OFF[2] OFF	[0]24[2]37
