CELL	BSC	LAI	CI	BCCH	BSIC	TCH	HOP	HSN
JDKNJI3	JMSM1B1	9859	30213	516	16	[0] 516 580 610 617 [2] 603 622	[0] ON[2] OFF	[0]46[2]8
JDKQCZ1	JMSM1B1	9859	30161	532	12	[0] 532 588 623 629 635 [2] 576	[0] ON[2] OFF	[0]55[2]7
JDKQCZ2	JMSM1B1	9859	30162	528	22	[0] 528 548 574 581 604 [2] 560	[0] ON[2] OFF	[0]11[2]47
JDKQCZ3	JMSM1B1	9859	30163	524	74	[0] 524 608 633 [2] 538	[0] ON[2] OFF	[0]32[2]24
JDKSGL1	JMSM1B1	9859	30091	533	45	[0] 533 579 596 601 610 623 629 [2] 539	[0] ON[2] OFF	[0]33[2]60
JDKSGL2	JMSM1B1	9859	30092	523	32	[0] 523 541 574 586 614 619 [2] 570 633	[0] ON[2] OFF	[0]14[2]61
JDKSGL3	JMSM1B1	9859	30093	521	46	[0] 521 543 548 552 559 562 572 594 608 [1] 612 617 626 631 [2] 576 588 635	[0] ON[1] OFF[2] OFF	[0]60[1]57[2]63
JDKWGN1	JMSM1B1	9859	30111	529	62	[0] 529 549 573 590 605 613 623 [2] 630	[0] ON[2] OFF	[0]45[2]47
JDKWGN2	JMSM1B1	9859	30112	533	62	[0] 533 545 558 563 570 587 609 [2] 625	[0] ON[2] OFF	[0]2[2]23
JDKWGN3	JMSM1B1	9859	30113	514	17	[0] 514 579 592 [2] 634	[0] ON[2] OFF	[0]24[2]1
JDKWMC1	JMSM1B1	9859	30141	518	47	[0] 518 597 608 630 634 [2] 588	[0] ON[2] OFF	[0]56[2]36
JDKWMC2	JMSM1B1	9859	30142	526	55	[0] 526 566 621 [2] 557	[0] ON[2] OFF	[0]0[2]0
JDKWMC3	JMSM1B1	9859	30143	514	31	[0] 514 550 572 [2] 606	[0] ON[2] OFF	[0]9[2]29
JDKXCG1	JMSM1B1	9859	30371	519	73	[0] 519 538 547 555 560 [2] 575	[0] ON[2] OFF	[0]55[2]34
JDKXCG2	JMSM1B1	9859	30372	535	65	[0] 535 544 551 564 [2] 557 593	[0] ON[2] OFF	[0]38[2]22
JDKXCG3	JMSM1B1	9859	30373	514	63	[0] 514 541 568 580 586 [2] 590	[0] ON[2] OFF	[0]12[2]8
JDKXDL1	JMSM1B1	9859	30411	532	43	[0] 532 547 559 618 [2] 579 626	[0] ON[2] OFF	[0]44[2]36
JDKXDL2	JMSM1B1	9859	30412	520	70	[0] 520 538 542 605 [2] 597 609	[0] ON[2] OFF	[0]63[2]10
JDKXDL3	JMSM1B1	9859	30413	526	50	[0] 526 544 550 556 599 [2] 570	[0] ON[2] OFF	[0]47[2]58
JDKXGL1	JMSM1B1	9859	30131	522	50	[0] 522 538 544 [2] 548	[0] ON[2] OFF	[0]0[2]13
JDKXGL2	JMSM1B1	9859	30132	524	43	[0] 524 540 555 [2] 559	[0] ON[2] OFF	[0]46[2]62
JDKXGL3	JMSM1B1	9859	30133	526	31	[0] 526 576 582 592 602 617 [2] 607 626	[0] ON[2] OFF	[0]29[2]48
JDKXLY1	JMSM1B1	9859	30711	530	51	[0] 530 552 556 572 588 601 615 623 [2] 629 635	[0] ON[2] OFF	[0]37[2]13
JDKXLY2	JMSM1B1	9859	30712	527	52	[0] 527 546 558 568 574 578 586 596 621 [2] 625	[0] ON[2] OFF	[0]1[2]61
JDKXLY3	JMSM1B1	9859	30713	512	40	[0] 512 549 591 [2] 632	[0] ON[2] OFF	[0]30[2]46
JDKXSY1	JMSM1B1	9859	30201	534	53	[0] 534 575 595 616 [2] 541 630	[0] ON[2] OFF	[0]1[2]3
JDKXSY2	JMSM1B1	9859	30202	523	14	[0] 523 562 566 579 [2] 558 597	[0] ON[2] OFF	[0]22[2]27
JDKXSY3	JMSM1B1	9859	30203	519	15	[0] 519 564 585 600 [2] 592 604	[0] ON[2] OFF	[0]44[2]52
JDKYHC1	JMSM1B1	9859	30121	535	34	[0] 535 547 585 [2] 622	[0] ON[2] OFF	[0]41[2]0
JDKYHC2	JMSM1B1	9859	30122	516	42	[0] 516 541 575 588 600 618 627 [2] 633	[0] ON[2] OFF	[0]5[2]54
JDKYHC3	JMSM1B1	9859	30123	525	54	[0] 525 550 557 594 603 612 616 [2] 635	[0] ON[2] OFF	[0]34[2]46
JDKZHE1	JMSM1B1	9859	20371	533	37	[0] 533 548 553 559 565 569 602 607 622 [2] 539	[0] ON[2] OFF	[0]45[2]40
JDKZHE2	JMSM1B1	9859	20372	520	33	[0] 520 546 550 561 567 571 575 [2] 541	[0] ON[2] OFF	[0]21[2]19
JDKZHE3	JMSM1B1	9859	20373	525	42	[0] 525 563 573 582 599 612 633 [2] 555	[0] ON[2] OFF	[0]62[2]63
JMJK119	JMSM1B1	9859	10000	9	30	[0] 9 [2] 95	[0] OFF[2] OFF	[0]25[2]61
JMJLLZ1	JMSM1B1	9859	20081	33	63	[0] 5 11 14 21 24 33 72 78 [2] 56 93	[0] ON[2] OFF	[0]17[2]63
JMJLLZ2	JMSM1B1	9859	20082	35	10	[0] 19 35 82 91 [2] 63 70	[0] ON[2] OFF	[0]18[2]18
JMJLLZ3	JMSM1B1	9859	20083	44	77	[0] 8 27 44 61 76 80 [1] 1022 [2] 67 86 89	[0] ON[1] OFF[2] OFF	[0]19[1]53[2]15
JMJXBL1	JMSM1B1	9859	21101	33	20	[0] 22 27 33 68 72 81 88 [2] 16	[0] ON[2] OFF	[0]30[2]24
JMJXBL2	JMSM1B1	9859	21102	35	55	[0] 5 10 13 35 55 59 63 [2] 1	[0] ON[2] OFF	[0]27[2]24
JMJXBL3	JMSM1B1	9859	21103	52	37	[0] 25 52 65 70 78 85 93 [2] 20	[0] ON[2] OFF	[0]25[2]25
JMJYNC1	JMSM1B1	9859	23791	48	61	[0] 8 48 86 [2] 90	[0] ON[2] OFF	[0]6[2]30
JMJYNC2	JMSM1B1	9859	23792	34	46	[0] 34 [2] 61	[0] OFF[2] OFF	[0]50[2]30
JMJYNC3	JMSM1B1	9859	23793	42	74	[0] 42 74 77 [2] 4	[0] ON[2] OFF	[0]31[2]31
JMJYNC8	JMSM1B1	9859	23798	51	55	[0] 6 51 65 [2] 58	[0] ON[2] OFF	[0]8[2]43
JMJZDG1	JMSM1B1	9859	62921	43	72	[0] 3 43 [2] 9 55	[0] ON[2] OFF	[0]27[2]25
JMJZDG2	JMSM1B1	9859	62922	45	15	[0] 25 45 62 [2] 20	[0] OFF[2] OFF	[0]14[2]60
JMJZDG3	JMSM1B1	9859	20403	53	66	[0] 14 53 [2] 60	[0] OFF[2] OFF	[0]2[2]21
JMJZDG9	JMSM1B1	9859	62929	38	52	[0] 28 38 56 65	[0] ON	[0]24
JMKBDJ9	JMSM1B1	9859	20029	34	70	[0] 3 10 30 34 58 70 [1] 1020 [2] 92	[0] ON[1] OFF[2] OFF	[0]15[1]41[2]4
JMKBJY1	JMSM1B1	9859	20041	42	57	[0] 1 42 63 88 93 [2] 81	[0] ON[2] OFF	[0]16[2]21
JMKBJY2	JMSM1B1	9859	20042	53	47	[0] 25 53 59 79 [2] 30 69	[0] ON[2] OFF	[0]17[2]3
JMKBJY3	JMSM1B1	9859	20043	48	34	[0] 3 28 48 72 76 [2] 67	[0] ON[2] OFF	[0]18[2]58
JMKBJZ1	JMSM1B1	9859	26001	40	16	[0] 13 26 40 62 76 87 [2] 29 58	[0] ON[2] OFF	[0]26[2]11
JMKBJZ2	JMSM1B1	9859	26002	36	37	[0] 20 36 63 73 81 89 [2] 85 93	[0] ON[2] OFF	[0]63[2]45
JMKBJZ3	JMSM1B1	9859	26003	56	51	[0] 11 56 66 [2] 24	[0] ON[2] OFF	[0]37[2]32
JMKCSA1	JMSM1B1	9859	25291	49	22	[0] 49 75 [2] 84 92	[0] OFF[2] OFF	[0]25[2]20
JMKCSA2	JMSM1B1	9859	25292	39	43	[0] 39 67 [2] 8 79	[0] OFF[2] OFF	[0]26[2]6
JMKCSA3	JMSM1B1	9859	25293	42	65	[0] 42 60 72 [2] 21	[0] ON[2] OFF	[0]27[2]37
JMKDDE1	JMSM1B1	9859	21301	47	14	[0] 7 47 [1] 0 [2] 22	[0] OFF[1] OFF[2] OFF	[0]53[1]39[2]22
JMKDDE2	JMSM1B1	9859	21302	35	35	[0] 29 35 62 78 87 91 [2] 82 94	[0] ON[2] OFF	[0]21[2]19
JMKDDE3	JMSM1B1	9859	21303	43	27	[0] 43 75 [2] 14 71	[0] OFF[2] OFF	[0]54[2]17
JMKDHE1	JMSM1B1	9859	23001	33	25	[0] 7 33 [2] 59 64	[0] OFF[2] OFF	[0]31[2]47
JMKDHE2	JMSM1B1	9859	23002	50	16	[0] 50 66 78 [2] 82	[0] ON[2] OFF	[0]32[2]3
JMKDHE3	JMSM1B1	9859	23003	56	32	[0] 15 18 56 73 76 [2] 22 62 84	[0] ON[2] OFF	[0]33[2]25
JMKDHI1	JMSM1B1	9859	20101	35	46	[0] 2 7 35 57 [2] 25	[0] ON[2] OFF	[0]34[2]61
JMKDHI2	JMSM1B1	9859	20102	39	45	[0] 10 39 63 72 [2] 21 93	[0] ON[2] OFF	[0]35[2]53
JMKDHI3	JMSM1B1	9859	20103	46	44	[0] 46 83 87 [2] 4 60 75	[0] ON[2] OFF	[0]36[2]52
JMKDJL1	JMSM1B1	9859	21281	33	50	[0] 33 80 [2] 8 15	[0] OFF[2] OFF	[0]37[2]16
JMKDJL2	JMSM1B1	9859	21282	53	26	[0] 53 [1] 1023 [2] 74 82	[0] OFF[1] OFF[2] OFF	[0]11[1]0[2]16
JMKDJL3	JMSM1B1	9859	21283	37	66	[0] 18 37 [2] 29 78	[0] OFF[2] OFF	[0]50[2]17
JMKDLC1	JMSM1B1	9859	22001	33	17	[0] 33 83 89 [2] 10 16 60	[0] ON[2] OFF	[0]40[2]46
JMKDLC2	JMSM1B1	9859	22002	46	42	[0] 46 71 [2] 27 57	[0] OFF[2] OFF	[0]41[2]57
JMKDLC3	JMSM1B1	9859	22003	41	51	[0] 30 41 65 [2] 14	[0] ON[2] OFF	[0]42[2]48
JMKDSJ1	JMSM1B1	9859	22011	36	12	[0] 22 36 59 71 81 [2] 94	[0] ON[2] OFF	[0]28[2]32
JMKDSJ2	JMSM1B1	9859	22012	39	62	[0] 1 39 69 83 [2] 25 73	[0] ON[2] OFF	[0]51[2]12
JMKDSJ3	JMSM1B1	9859	22013	53	70	[0] 15 53 87 [2] 19	[0] ON[2] OFF	[0]11[2]57
JMKFZM1	JMSM1B1	9859	20521	50	36	[0] 9 18 27 50 57 62 65 [2] 69	[0] ON[2] OFF	[0]53[2]62
JMKFZM2	JMSM1B1	9859	20522	33	41	[0] 11 20 33 [2] 29	[0] ON[2] OFF	[0]55[2]0
JMKFZM3	JMSM1B1	9859	20523	37	11	[0] 5 13 37 [2] 60	[0] ON[2] OFF	[0]58[2]4
JMKGAJ1	JMSM1B1	9859	23011	56	12	[0] 8 18 26 56 79 [2] 59 69 74	[0] ON[2] OFF	[0]33[2]4
JMKGAJ2	JMSM1B1	9859	23012	51	45	[0] 51 64 [2] 71 77	[0] OFF[2] OFF	[0]25[2]50
JMKGAJ3	JMSM1B1	9859	23013	48	12	[0] 23 30 48 [2] 67	[0] ON[2] OFF	[0]18[2]23
JMKGFZ9	JMSM1B1	9859	25319	48	47	[0] 26 48 84 [2] 9	[0] ON[2] OFF	[0]43[2]47
JMKGML1	JMSM1B1	9859	25301	33	55	[0] 21 33 [2] 65 71 83	[0] OFF[2] OFF	[0]44[2]17
JMKGML2	JMSM1B1	9859	25302	50	36	[0] 4 50 89 [2] 24 86	[0] ON[2] OFF	[0]44[2]46
JMKGML3	JMSM1B1	9859	25303	35	75	[0] 15 35 79 [2] 59	[0] ON[2] OFF	[0]46[2]52
JMKHQO1	JMSM1B1	9859	23021	45	30	[0] 45 64 88 [2] 68	[0] ON[2] OFF	[0]47[2]61
JMKHQO2	JMSM1B1	9859	23022	37	20	[0] 8 15 19 37 60 75 [2] 22 78	[0] ON[2] OFF	[0]48[2]59
JMKHQO3	JMSM1B1	9859	23023	31	57	[0] 25 31 [2] 70 84	[0] OFF[2] OFF	[0]49[2]63
JMKHSD1	JMSM1B1	9859	22021	52	20	[0] 19 52 61 75 87 [2] 79 91	[0] ON[2] OFF	[0]27[2]16
JMKHSD2	JMSM1B1	9859	22022	44	11	[0] 16 21 44 66 70 84 [2] 4 10	[0] ON[2] OFF	[0]2[2]0
JMKHSD3	JMSM1B1	9859	22023	41	76	[0] 23 28 41 [2] 58	[0] ON[2] OFF	[0]42[2]28
JMKJLN1	JMSM1B1	9859	25361	34	21	[0] 14 34 62 [2] 30	[0] ON[2] OFF	[0]34[2]5
JMKJLN2	JMSM1B1	9859	25362	32	67	[0] 32 87 [2] 57	[0] OFF[2] OFF	[0]19[2]16
JMKJLN3	JMSM1B1	9859	25363	44	54	[0] 22 44 72 82 [2] 1 19	[0] ON[2] OFF	[0]5[2]2
JMKJRJ1	JMSM1B1	9859	22031	32	52	[0] 15 32 [2] 28 59	[0] OFF[2] OFF	[0]53[2]53
JMKJRJ2	JMSM1B1	9859	22032	49	13	[0] 49 80 84 [2] 94	[0] ON[2] OFF	[0]29[2]15
JMKJYJ1	JMSM1B1	9859	25321	51	33	[0] 19 51 74 [2] 83	[0] ON[2] OFF	[0]54[2]12
JMKJYJ2	JMSM1B1	9859	25322	54	10	[0] 13 16 54 [2] 6	[0] ON[2] OFF	[0]55[2]0
JMKJYJ3	JMSM1B1	9859	25323	48	25	[0] 23 48 59 [2] 90	[0] ON[2] OFF	[0]56[2]61
JMKJZG1	JMSM1B1	9859	26011	38	14	[0] 1 38 65 75 [2] 92	[0] ON[2] OFF	[0]60[2]55
JMKJZG2	JMSM1B1	9859	26012	42	12	[0] 7 12 25 42 [2] 69 79	[0] ON[2] OFF	[0]61[2]20
JMKJZG3	JMSM1B1	9859	26013	40	32	[0] 10 40 94 [2] 3 27	[0] ON[2] OFF	[0]62[2]3
JMKKHL1	JMSM1B1	9859	21491	41	35	[0] 41 [1] 1022 [2] 62 67	[0] OFF[1] OFF[2] OFF	[0]3[1]53[2]63
JMKKHL2	JMSM1B1	9859	21492	45	71	[0] 5 45 [2] 76 85	[0] OFF[2] OFF	[0]59[2]11
JMKKHL3	JMSM1B1	9859	21493	35	44	[0] 35 59 71 [2] 91	[0] ON[2] OFF	[0]52[2]24
