CELL	BSC	LAI	CI	BCCH	BSIC	
JMKJZG2	JMSM1B1	9859	26012	42	12	
JMKJZG3	JMSM1B1	9859	26013	40	32	
JMKKHL1	JMSM1B1	9859	21491	41	35	
JMKKHL2	JMSM1B1	9859	21492	45	71	
JMKKHL3	JMSM1B1	9859	21493	35	44	
JMKKPD9	JMSM1B1	9859	25359	51	15	
JMKKXM9	JMSM1B1	9859	25379	35	20	
JMKLCH1	JMSM1B1	9859	21711	56	11	
JMKLCH2	JMSM1B1	9859	21712	43	14	
JMKLCH3	JMSM1B1	9859	21713	50	73	
JMKNJI1	JMSM1B1	9859	22401	54	25	
JMKNJI2	JMSM1B1	9859	22402	46	34	
JMKNJI3	JMSM1B1	9859	22403	38	21	
JMKPFG1	JMSM1B1	9859	20511	35	44	
JMKPFG2	JMSM1B1	9859	20512	51	22	
JMKPFG3	JMSM1B1	9859	20513	38	40	
JMKQCZ1	JMSM1B1	9859	25381	47	20	
JMKQCZ2	JMSM1B1	9859	25382	55	36	
JMKQCZ3	JMSM1B1	9859	25383	50	70	
JMKSGL1	JMSM1B1	9859	22051	43	35	
JMKSGL2	JMSM1B1	9859	22052	34	14	
JMKSGL3	JMSM1B1	9859	22053	32	71	
JMKTYG1	JMSM1B1	9859	20271	34	32	
JMKTYG2	JMSM1B1	9859	20272	52	27	
JMKTYG3	JMSM1B1	9859	20273	56	53	
JMKTYG4	JMSM1B1	9859	20274	49	36	
JMKWGN1	JMSM1B1	9859	26021	42	10	
JMKWGN2	JMSM1B1	9859	26022	46	71	
JMKWGN3	JMSM1B1	9859	26023	44	16	
JMKWMC1	JMSM1B1	9859	20501	53	42	
JMKWMC2	JMSM1B1	9859	20502	48	20	
JMKWMC3	JMSM1B1	9859	20503	46	40	
JMKXCC1	JMSM1B1	9859	20051	40	67	
JMKXCC2	JMSM1B1	9859	20052	36	30	
JMKXCC3	JMSM1B1	9859	20053	42	20	
JMKXCC8	JMSM1B1	9859	20054	38	11	
JMKXCG1	JMSM1B1	9859	21721	39	35	
JMKXCG2	JMSM1B1	9859	21722	31	37	
JMKXCG3	JMSM1B1	9859	21723	34	23	
JMKXCY1	JMSM1B1	9859	23031	52	36	
JMKXCY2	JMSM1B1	9859	23032	54	57	
JMKXCY3	JMSM1B1	9859	23033	41	40	
JMKXCZ1	JMSM1B1	9859	23041	49	54	
JMKXCZ2	JMSM1B1	9859	23042	41	73	
JMKXCZ3	JMSM1B1	9859	23043	32	15	
JMKXDL1	JMSM1B1	9859	20291	47	14	
JMKXDL2	JMSM1B1	9859	20292	32	53	
JMKXDL3	JMSM1B1	9859	20293	45	31	
JMKXGL1	JMSM1B1	9859	30451	48	70	
JMKXGL2	JMSM1B1	9859	30452	37	26	
JMKXGL3	JMSM1B1	9859	30453	34	43	
JMKXGL8	JMSM1B1	9859	30454	39	53	
JMKXLY1	JMSM1B1	9859	20301	40	76	
JMKXLY2	JMSM1B1	9859	20302	50	54	
JMKXLY3	JMSM1B1	9859	20303	38	45	
JMKXSY1	JMSM1B1	9859	22141	46	37	
JMKXSY2	JMSM1B1	9859	22142	36	75	
JMKXSY3	JMSM1B1	9859	22143	31	73	
JMKYHC1	JMSM1B1	9859	22151	31	20	
JMKYHC2	JMSM1B1	9859	22152	54	41	
JMKYHC3	JMSM1B1	9859	22153	47	15	
JMKZHE1	JMSM1B1	9859	20361	37	63	
JMKZHE2	JMSM1B1	9859	20362	47	52	
JMKZHE3	JMSM1B1	9859	20363	43	13	
JMKZSC1	JMSM1B1	9859	23051	31	16	
JMKZSC2	JMSM1B1	9859	23052	38	17	
JMKZSC3	JMSM1B1	9859	23053	55	40	
JDTBKG1	JMSM1B2	9860	26031	535	12	
JDTBKG2	JMSM1B2	9860	30112	532	53	
JDTBKG3	JMSM1B2	9860	30113	513	12	
JDTCLU1	JMSM1B2	9860	30001	525	27	
JDTCLU2	JMSM1B2	9860	30002	516	44	
JDTLDI1	JMSM1B2	9860	30021	533	72	
JDTLDI2	JMSM1B2	9860	30022	522	26	
JDTLDI3	JMSM1B2	9860	30023	528	62	
JDTNKL1	JMSM1B2	9860	30801	525	25	
JDTNKL2	JMSM1B2	9860	30802	520	26	
JDTNKL3	JMSM1B2	9860	30803	518	25	
JDTSBE3	JMSM1B2	9860	30663	527	47	
JDTSBU1	JMSM1B2	9860	30651	517	35	
JDTSHS1	JMSM1B2	9860	34021	514	76	
JDTSHS2	JMSM1B2	9860	34022	529	15	
JDTSJU1	JMSM1B2	9860	30681	530	30	
JDTSJU2	JMSM1B2	9860	30682	515	41	
JDTXHU1	JMSM1B2	9860	34031	537	15	
JDTXHU2	JMSM1B2	9860	34032	528	23	
JDTZHL1	JMSM1B2	9860	30701	514	67	
JDTZHL2	JMSM1B2	9860	30702	524	65	
JDTZHL3	JMSM1B2	9860	30703	530	36	
JDXNWN3	JMSM1B2	9860	30013	528	73	
JDXSYG3	JMSM1B2	9860	32773	528	30	
JMJK129	JMSM1B2	9860	10000	100	30	
JMTBFS1	JMSM1B2	9860	20661	35	76	
JMTBFS2	JMSM1B2	9860	20662	31	53	
JMTBFS3	JMSM1B2	9860	20663	33	61	
JMTBJA1	JMSM1B2	9860	26201	34	15	
JMTBJA2	JMSM1B2	9860	26202	41	26	
JMTBJA3	JMSM1B2	9860	26203	32	47	
JMTBKG1	JMSM1B2	9860	26011	39	67	
JMTBKG2	JMSM1B2	9860	26012	36	57	
JMTBKG3	JMSM1B2	9860	26013	54	24	
JMTBTN1	JMSM1B2	9860	20081	56	15	
JMTBTN2	JMSM1B2	9860	20082	31	77	
JMTBTN3	JMSM1B2	9860	20083	51	50	
JMTBXG1	JMSM1B2	9860	20091	35	17	
JMTBXG2	JMSM1B2	9860	20092	50	67	
JMTBXG3	JMSM1B2	9860	20093	45	75	
JMTCBN1	JMSM1B2	9860	20101	44	65	
JMTCBN2	JMSM1B2	9860	20102	34	11	
JMTCBN3	JMSM1B2	9860	20103	42	14	
JMTCBN8	JMSM1B2	9860	20108	52	72	
JMTCHI1	JMSM1B2	9860	20111	47	63	
JMTCHI2	JMSM1B2	9860	20112	36	43	
JMTCHI3	JMSM1B2	9860	20113	55	50	
JMTCLT1	JMSM1B2	9860	20001	56	36	
JMTCLT2	JMSM1B2	9860	20002	42	23	
JMTCLT3	JMSM1B2	9860	20003	45	31	
JMTCLU1	JMSM1B2	9860	20011	40	21	
JMTCLU2	JMSM1B2	9860	20012	38	55	
JMTCLU3	JMSM1B2	9860	20013	55	23	
JMTCYG1	JMSM1B2	9860	20021	33	72	
JMTCYG2	JMSM1B2	9860	20022	36	54	
JMTCYG3	JMSM1B2	9860	20023	50	77	
JMTCYG8	JMSM1B2	9860	20028	54	16	
JMTDGG6	JMSM1B2	9860	20126	48	56	
JMTDHG1	JMSM1B2	9860	20131	44	57	
JMTDHG2	JMSM1B2	9860	20132	31	54	
JMTDHG3	JMSM1B2	9860	20133	46	64	
JMTDJG1	JMSM1B2	9860	20141	37	57	
JMTDJG2	JMSM1B2	9860	20142	39	22	
JMTDJG3	JMSM1B2	9860	20143	44	53	
JMTDLA1	JMSM1B2	9860	30041	32	30	
JMTDLA2	JMSM1B2	9860	30042	55	57	
JMTDLA3	JMSM1B2	9860	30043	41	30	
JMTDTG1	JMSM1B2	9860	20811	47	71	
JMTDTG2	JMSM1B2	9860	20812	45	71	
JMTDTG3	JMSM1B2	9860	20813	41	63	
JMTDTO1	JMSM1B2	9860	20161	43	75	
JMTDTO2	JMSM1B2	9860	20162	37	21	
JMTDTO3	JMSM1B2	9860	20163	41	42	
JMTDTU1	JMSM1B2	9860	20171	56	22	
JMTDTU2	JMSM1B2	9860	20172	49	63	
JMTDTU3	JMSM1B2	9860	20173	53	41	
JMTFHG1	JMSM1B2	9860	23631	35	36	
JMTFHG2	JMSM1B2	9860	23632	52	10	
JMTFHG3	JMSM1B2	9860	23633	38	36	
JMTGDJ1	JMSM1B2	9860	27101	34	24	
JMTGDJ2	JMSM1B2	9860	27102	45	60	
JMTGDJ3	JMSM1B2	9860	27103	38	66	
JMTGDL9	JMSM1B2	9860	20199	34	56	
JMTGDS1	JMSM1B2	9860	20181	38	65	
JMTGDS2	JMSM1B2	9860	20182	52	33	
JMTGTN1	JMSM1B2	9860	23621	31	65	
JMTGTN2	JMSM1B2	9860	23622	46	63	
JMTGTN3	JMSM1B2	9860	23623	36	67	
JMTGYI1	JMSM1B2	9860	20201	58	77	
JMTGYI2	JMSM1B2	9860	20202	46	55	
JMTGYI3	JMSM1B2	9860	20203	37	52	
JMTGYI8	JMSM1B2	9860	20208	40	13	
JMTGYX1	JMSM1B2	9860	20211	53	67	
JMTGYX2	JMSM1B2	9860	20212	55	31	
JMTGYX3	JMSM1B2	9860	20213	51	75	
JMTGYY1	JMSM1B2	9860	26021	34	62	
JMTGYY2	JMSM1B2	9860	26022	32	33	
JMTGYY3	JMSM1B2	9860	26023	48	51	
JMTHLG1	JMSM1B2	9860	20031	35	64	
JMTHLG2	JMSM1B2	9860	20032	47	54	
JMTHLG3	JMSM1B2	9860	20033	37	53	
JMTJGG1	JMSM1B2	9860	20221	56	17	
JMTJGG2	JMSM1B2	9860	20222	45	52	
JMTJGG3	JMSM1B2	9860	20223	51	72	
JMTLAO1	JMSM1B2	9860	20231	46	74	
JMTLAO2	JMSM1B2	9860	20232	31	61	
JMTLAO3	JMSM1B2	9860	20233	40	31	
JMTLDI1	JMSM1B2	9860	20151	41	53	
JMTLDI2	JMSM1B2	9860	20152	33	45	
JMTLDI3	JMSM1B2	9860	20153	39	26	
JMTLXI1	JMSM1B2	9860	23601	41	45	
JMTLXI2	JMSM1B2	9860	23602	46	50	
JMTLXI3	JMSM1B2	9860	23603	51	60	
JMTLZT1	JMSM1B2	9860	23301	47	21	
JMTLZT2	JMSM1B2	9860	23302	54	76	
JMTLZT3	JMSM1B2	9860	23303	36	62	
JMTMXG1	JMSM1B2	9860	20261	38	63	
JMTMXG2	JMSM1B2	9860	20262	47	43	
JMTMXG3	JMSM1B2	9860	20263	34	40	
JMTNKG1	JMSM1B2	9860	20271	43	65	
JMTNKG2	JMSM1B2	9860	20272	53	55	
JMTNKG3	JMSM1B2	9860	20273	50	64	
JMTNKL1	JMSM1B2	9860	24001	48	16	
JMTNKL2	JMSM1B2	9860	24002	44	31	
JMTNKL3	JMSM1B2	9860	24003	40	21	
JMTQHU1	JMSM1B2	9860	23291	47	77	
JMTQHU2	JMSM1B2	9860	23292	40	61	
JMTQHU3	JMSM1B2	9860	23293	31	72	
JMTSBE1	JMSM1B2	9860	20291	58	57	
JMTSBE2	JMSM1B2	9860	20292	49	76	
JMTSBE3	JMSM1B2	9860	20293	44	52	
JMTSBU1	JMSM1B2	9860	20301	33	10	
JMTSBU2	JMSM1B2	9860	20302	55	61	
JMTSBU3	JMSM1B2	9860	20303	57	64	
JMTSHS1	JMSM1B2	9860	24021	56	67	
JMTSHS2	JMSM1B2	9860	24022	35	13	
JMTSHS3	JMSM1B2	9860	24023	37	53	
JMTSJU1	JMSM1B2	9860	20321	43	52	
JMTSJU2	JMSM1B2	9860	20322	58	15	
JMTSJU3	JMSM1B2	9860	20323	34	57	
JMTSNJ1	JMSM1B2	9860	20341	53	30	
JMTSNJ2	JMSM1B2	9860	20342	49	66	
JMTSNJ3	JMSM1B2	9860	20343	43	60	
JMTSQO1	JMSM1B2	9860	25171	52	16	
JMTSQO2	JMSM1B2	9860	25172	41	66	
JMTSQO3	JMSM1B2	9860	25173	43	30	
JMTSTS1	JMSM1B2	9860	20041	57	53	
JMTSTS2	JMSM1B2	9860	20042	33	40	
JMTSTS3	JMSM1B2	9860	20043	45	55	
JMTWHX1	JMSM1B2	9860	23541	53	51	
JMTWHX2	JMSM1B2	9860	23542	58	66	
JMTWHX3	JMSM1B2	9860	23543	42	52	
JMTWSI1	JMSM1B2	9860	20361	40	54	
JMTWSI2	JMSM1B2	9860	20362	50	71	
JMTWSI3	JMSM1B2	9860	20363	57	77	
JMTWSN9	JMSM1B2	9860	20829	37	54	
JMTWXG1	JMSM1B2	9860	23511	45	66	
JMTWXG2	JMSM1B2	9860	23512	33	36	
JMTWXG3	JMSM1B2	9860	23513	49	60	
JMTXHI1	JMSM1B2	9860	20051	31	52	
JMTXHI2	JMSM1B2	9860	20052	39	25	
JMTXHI3	JMSM1B2	9860	20053	57	75	
JMTXHU1	JMSM1B2	9860	20371	54	72	
JMTXHU2	JMSM1B2	9860	20372	35	74	
JMTXHU3	JMSM1B2	9860	20373	49	61	
JMTXKG1	JMSM1B2	9860	20061	51	61	
JMTXKG2	JMSM1B2	9860	20062	48	61	
JMTXKG3	JMSM1B2	9860	20063	38	10	
JMTXPG1	JMSM1B2	9860	23501	54	33	
JMTXPG2	JMSM1B2	9860	23502	32	74	
JMTXPG3	JMSM1B2	9860	23503	48	76	
JMTXTG1	JMSM1B2	9860	20831	48	55	
JMTXTG2	JMSM1B2	9860	20832	37	17	
JMTXTG3	JMSM1B2	9860	20833	41	17	
JMTXTN1	JMSM1B2	9860	25181	37	43	
JMTXTN2	JMSM1B2	9860	25182	42	72	
JMTXTN3	JMSM1B2	9860	25183	33	56	
JMTXWU1	JMSM1B2	9860	20071	58	41	
