MSC	BSC	CELL	bts	lac	ci	BCCH	BSIC	Cell_name	bts_name	longitude	latitude	dir	height	tilt	ground_height	ant_bw	ant_size	band	tch	载波数
GZS06V	JMSM1B1	JMKDHE3	JMKDHE	9859	23003	56	32	开平东河3	开平东河3	112.685278	22.360278	250	0	9	0				59	8
GZS06V	JMSM1B1	JMKDHI1	JMKDHI	9859	20101	35	46	开平荻海1	开平荻海1	112.684722	22.354167	70	0	9	0				35	5
GZS06V	JMSM1B1	JMKDHI2	JMKDHI	9859	20102	39	45	开平荻海2	开平荻海2	112.684722	22.354167	210	0	4	0				43	6
GZS06V	JMSM1B1	JMKDHI3	JMKDHI	9859	20103	46	44	开平荻海3	开平荻海3	112.684722	22.354167	310	0	7	0				43	6
GZS06V	JMSM1B1	JMKTYG1	JMKTYG	9859	20271	34	32	开平体育馆1	开平体育馆1	112.671389	22.357222	90	0	11	0				57	8
GZS06V	JMSM1B1	JMKTYG2	JMKTYG	9859	20272	52	27	开平体育馆2	开平体育馆2	112.671389	22.357222	220	0	4	0				59	8
GZS06V	JMSM1B1	JMKTYG3	JMKTYG	9859	20273	56	53	开平体育馆3	开平体育馆3	112.671389	22.357222	340	0	9	0				44	6
GZS06V	JMSM1B1	JMKTYG4	JMKTYG	9859	20274	49	36	开平体育馆4	开平体育馆4	112.671389	22.357222	120	0	8	0				43	6
GZS06V	JMSM1B1	JMKXCY1	JMKXCY	9859	23031	52	36	开平新昌公园1	开平新昌公园1	112.689904	22.360043	30	0	9	0				27	4
GZS06V	JMSM1B1	JMKXCY2	JMKXCY	9859	23032	54	57	开平新昌公园2	开平新昌公园2	112.689904	22.360043	140	0	8	0				43	6
GZS06V	JMSM1B1	JMKXCY3	JMKXCY	9859	23033	41	40	开平新昌公园3	开平新昌公园3	112.689904	22.360043	250	0	8	0				28	4
GZS06V	JMSM1B1	JMKXDL1	JMKXDL	9859	20291	47	14	开平祥荻路1	开平祥荻路1	112.6775	22.361111	70	0	10	0				25	4
GZS06V	JMSM1B1	JMKXDL2	JMKXDL	9859	20292	32	53	开平祥荻路2	开平祥荻路2	112.6775	22.361111	170	0	10	0				47	7
GZS06V	JMSM1B1	JMKXDL3	JMKXDL	9859	20293	45	31	开平祥荻路3	开平祥荻路3	112.6775	22.361111	310	0	10	0				34	5
GZS06V	JMSM1B1	JMKXLY1	JMKXLY	9859	20301	40	76	开平祥龙公园1	开平祥龙公园1	112.67325	22.36078	80	0	6	0				57	8
GZS06V	JMSM1B1	JMKXLY2	JMKXLY	9859	20302	50	54	开平祥龙公园2	开平祥龙公园2	112.67325	22.36078	180	0	6	0				72	10
GZS06V	JMSM1B1	JMKXLY3	JMKXLY	9859	20303	38	45	开平祥龙公园3	开平祥龙公园3	112.67325	22.36078	330	0	6	0				28	4
GZS06V	JMSM1B1	JMKZHE1	JMKZHE	9859	20361	37	63	开平中和路1	开平中和路1	112.68093	22.35179	10	0	8	0				57	8
GZS06V	JMSM1B1	JMKZHE2	JMKZHE	9859	20362	47	52	开平中和路2	开平中和路2	112.68093	22.35179	140	0	5	0				70	10
GZS06V	JMSM1B1	JMKZHE3	JMKZHE	9859	20363	43	13	开平中和路3	开平中和路3	112.68093	22.35179	230	0	5	0				55	8
GZS06V	JMSM1B2	JDTBKG1	JDTBKG	9860	26031	535	12	台山北坑D1	台山北坑D1	112.78111	22.30388	10	0	2	0				58	8
GZS06V	JMSM1B2	JDTBKG2	JDTBKG	9860	30112	532	53	台山北坑D2	台山北坑D2	112.78111	22.30388	100	0	6	0				57	8
GZS06V	JMSM1B2	JDTBKG3	JDTBKG	9860	30113	513	12	台山北坑D3	台山北坑D3	112.78111	22.30388	0	0	0	0				44	6
GZS06V	JMSM1B2	JDTCLU1	JDTCLU	9860	30001	525	27	台山冲蒌D1	台山冲蒌D1	112.803333	22.130556	40	0	4	0				14	2
GZS06V	JMSM1B2	JDTCLU2	JDTCLU	9860	30002	516	44	台山冲蒌D2	台山冲蒌D2	112.803333	22.130556	120	0	10	0				29	4
GZS06V	JMSM1B2	JDTLDI1	JDTLDI	9860	30021	533	72	台山利迪D1	台山利迪D1	112.803	22.25026	80	0	6	0				75	10
